TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
"682432","YuGiOh","2004 Collectors Tin","Blade Knight","","CT1-EN002","Secret Rare","Near Mint Limited","9.81","","9.6300","8.6400","0","0","10.9900",""
"682433","YuGiOh","2004 Collectors Tin","Command Knight","","CT1-EN003","Secret Rare","Near Mint Limited","3.25","6.00","3.9900","2.9900","0","0","3.4900",""
"682435","YuGiOh","2004 Collectors Tin","Insect Queen","","CT1-EN005","Secret Rare","Near Mint Limited","5.35","4.84","5.8300","4.8400","0","0","2.9900",""
"682436","YuGiOh","2004 Collectors Tin","Obnoxious Celtic Guard","","CT1-EN006","Secret Rare","Near Mint Limited","5.36","","7.9800","6.9900","0","0","5.9900",""
"682438","YuGiOh","2005 Collectors Tin","Exarion Universe","","CT2-EN002","Secret Rare","Near Mint Limited","1.63","1.75","1.9700","0.9800","0","0","2.9900",""
"682441","YuGiOh","2005 Collectors Tin","Rocket Warrior","","CT2-EN005","Secret Rare","Near Mint Limited","4.16","","5.9800","4.9900","0","0","5.0000",""
"682444","YuGiOh","2006 Collectors Tin","Cyber Dragon","","CT03-EN002","Secret Rare","Near Mint Limited","14.45","","13.7200","12.7300","0","0","9.9900",""
"682443","YuGiOh","2006 Collectors Tin","Elemental HERO Neos","","CT03-EN001","Secret Rare","Near Mint Limited","24.85","29.97","22.9900","22.0000","0","0","5.0000",""
"1171475","YuGiOh","2006 Collectors Tin","Hamon, Lord of Striking Thunder","","CT03-EN006","Secret Rare","Near Mint Limited","7.49","7.73","8.4900","7.5000","0","0","19.9900",""
"682445","YuGiOh","2006 Collectors Tin","Raviel, Lord of Phantasms","","CT03-EN003","Secret Rare","Near Mint Limited","4.14","","5.0000","5.0000","0","0","5.9900",""
"682448","YuGiOh","2007 Collectors Tin","Crystal Beast Sapphire Pegasus","","CT04-EN002","Secret Rare","Near Mint Limited","6.70","","3.4800","2.4900","0","0","5.0000",""
"682451","YuGiOh","2007 Collectors Tin","Elemental HERO Plasma Vice","","CT04-EN006","Secret Rare","Near Mint Limited","5.12","6.50","5.1100","4.1200","0","0","3.4900",""
"682450","YuGiOh","2007 Collectors Tin","Rainbow Dragon","","CT04-EN005","Secret Rare","Near Mint Limited","9.13","","3.5500","2.5600","0","0","14.9900",""
"682449","YuGiOh","2007 Collectors Tin","Volcanic Doomfire","","CT04-EN004","Secret Rare","Near Mint Limited","3.76","","4.9800","3.4900","0","0","2.4900",""
"682454","YuGiOh","2008 Collectors Tin","Black Rose Dragon","","CT05-EN003","Secret Rare","Near Mint Limited","19.79","","18.0900","18.0900","0","0","9.9900",""
"1169115","YuGiOh","2008 Collectors Tin","Goyo Guardian","","CT05-ENS03","Secret Rare","Near Mint Limited","12.99","","13.9700","12.9800","0","0","14.9900",""
"1180815","YuGiOh","2008 Collectors Tin","Montage Dragon","","CT05-ENS01","Secret Rare","Near Mint Limited","3.57","","3.8400","2.8500","0","0","9.9900",""
"682453","YuGiOh","2008 Collectors Tin","Red Dragon Archfiend","","CT05-EN002","Secret Rare","Near Mint Limited","15.70","","14.5000","14.5000","0","0","4.4900",""
"682457","YuGiOh","2009 Collectors Tin","Ancient Fairy Dragon","","CT06-EN002","Secret Rare","Near Mint Limited","12.45","19.99","11.8900","10.9000","0","0","9.9900",""
"1165806","YuGiOh","2009 Collectors Tin","Blackwing - Elphin the Raven","","CT06-ENS01","Secret Rare","Near Mint Limited","1.85","4.49","2.2400","1.2500","0","0","0.4900",""
"1165811","YuGiOh","2009 Collectors Tin","Earthbound Immortal Aslla Piscu","","CT06-ENS02","Secret Rare","Near Mint Limited","8.52","","","","0","0","8.9900",""
"1165816","YuGiOh","2009 Collectors Tin","Earthbound Immortal Chacu Challhua","","CT06-ENS03","Secret Rare","Near Mint Limited","10.38","","11.0000","10.5000","0","0","5.4900",""
"682468","YuGiOh","2010 Collectors Tins","Battle Fader","","CT07-EN009","Super Rare","Near Mint Limited","1.78","","3.0000","2.0000","0","0","0.7400",""
"682471","YuGiOh","2010 Collectors Tins","Blackwing - Vayu the Emblem of Honor","","CT07-EN012","Super Rare","Near Mint Limited","2.04","","2.3800","1.3900","0","0","1.9900",""
