,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL,ed_bool
29,682469,YuGiOh,2010 Collectors Tins,"Green Baboon, Defender of the Forest",,CT07-EN010,Super Rare,Near Mint Limited,0.22,,1.1,0.11,5,0,0.49,,False
48,734314,YuGiOh,2011 Collectors Tins,Elemental HERO Gaia,,CT08-EN011,Super Rare,Near Mint Limited,6.7,7.5,6.79,5.8,1,0,8.24,,False
52,734844,YuGiOh,2011 Collectors Tins,Guardian Eatos,,CT08-EN013,Super Rare,Near Mint Limited,0.26,,1.11,0.12,10,0,0.49,,False
54,734312,YuGiOh,2011 Collectors Tins,"Neo-Parshath, The Sky Paladin",,CT08-EN009,Super Rare,Near Mint Limited,0.23,,1.1,0.11,29,0,0.49,,False
60,734847,YuGiOh,2011 Collectors Tins,The Tyrant Neptune,,CT08-EN018,Super Rare,Near Mint Limited,0.5,,1.33,0.34,11,0,0.99,,False
61,734311,YuGiOh,2011 Collectors Tins,Wind-Up Zenmaister,,CT08-EN002,Secret Rare,Near Mint Limited,0.33,,1.17,0.18,8,0,0.49,,False
62,734849,YuGiOh,2011 Collectors Tins,XX-Saber Darksoul,,CT08-EN017,Super Rare,Near Mint Limited,0.32,,1.14,0.15,23,0,0.49,,False
64,682488,YuGiOh,2011 Duelist Pack Tin,Hundred Eyes Dragon,,DPC5-EN003,Super Rare,Near Mint Limited,0.43,,1.23,0.24,18,0,0.49,,False
65,682486,YuGiOh,2011 Duelist Pack Tin,Underground Arachnid,,DPC5-EN001,Super Rare,Near Mint Limited,0.17,,1.11,0.12,19,0,0.49,,False
66,946947,YuGiOh,2012 Collectors Tin,Blizzard Princess,,CT09-EN009,Super Rare,Near Mint Limited,0.38,,1.08,0.09,1,0,0.49,,False
77,1062399,YuGiOh,2012 Collectors Tin,Number 16: Shock Master,,CT09-EN014,Super Rare,Near Mint Limited,1.69,,1.73,0.74,51,0,2.99,,False
82,1072497,YuGiOh,2012 Collectors Tin,Steelswarm Roach,,CT09-EN021,Super Rare,Near Mint Limited,5.71,,5.0,5.0,1,0,5.0,,False
84,946949,YuGiOh,2012 Collectors Tin,Wind-Up Rabbit,,CT09-EN010,Super Rare,Near Mint Limited,0.22,,1.06,0.07,97,0,0.49,,False
94,851136,YuGiOh,2012 Premium Collection Tin,Masked HERO Dian,,PRC1-EN019,Secret Rare,Near Mint 1st Edition,1.17,,1.69,0.7,2,0,1.74,,False
