,TCGplayer Id,Product Line,Set Name,Product Name,Title,Number,Rarity,Condition,TCG Market Price,TCG Direct Low,TCG Low Price With Shipping,TCG Low Price,Total Quantity,Add to Quantity,TCG Marketplace Price,Photo URL
29,682469,YuGiOh,2010 Collectors Tins,"Green Baboon, Defender of the Forest",0,CT07-EN010,Super Rare,Near Mint Limited,0.22,0.0,1.1,0.11,5,0,0.74,0
48,734314,YuGiOh,2011 Collectors Tins,Elemental HERO Gaia,0,CT08-EN011,Super Rare,Near Mint Limited,6.7,7.5,6.79,5.8,1,0,8.24,0
52,734844,YuGiOh,2011 Collectors Tins,Guardian Eatos,0,CT08-EN013,Super Rare,Near Mint Limited,0.26,0.0,1.11,0.12,10,0,0.74,0
54,734312,YuGiOh,2011 Collectors Tins,"Neo-Parshath, The Sky Paladin",0,CT08-EN009,Super Rare,Near Mint Limited,0.23,0.0,1.1,0.11,29,0,0.74,0
60,734847,YuGiOh,2011 Collectors Tins,The Tyrant Neptune,0,CT08-EN018,Super Rare,Near Mint Limited,0.5,0.0,1.33,0.34,11,0,0.99,0
61,734311,YuGiOh,2011 Collectors Tins,Wind-Up Zenmaister,0,CT08-EN002,Secret Rare,Near Mint Limited,0.33,0.0,1.17,0.18,8,0,0.99,0
62,734849,YuGiOh,2011 Collectors Tins,XX-Saber Darksoul,0,CT08-EN017,Super Rare,Near Mint Limited,0.32,0.0,1.14,0.15,23,0,0.99,0
64,682488,YuGiOh,2011 Duelist Pack Tin,Hundred Eyes Dragon,0,DPC5-EN003,Super Rare,Near Mint Limited,0.43,0.0,1.23,0.24,18,0,0.99,0
65,682486,YuGiOh,2011 Duelist Pack Tin,Underground Arachnid,0,DPC5-EN001,Super Rare,Near Mint Limited,0.17,0.0,1.11,0.12,19,0,0.74,0
66,946947,YuGiOh,2012 Collectors Tin,Blizzard Princess,0,CT09-EN009,Super Rare,Near Mint Limited,0.38,0.0,1.08,0.09,1,0,0.74,0
77,1062399,YuGiOh,2012 Collectors Tin,Number 16: Shock Master,0,CT09-EN014,Super Rare,Near Mint Limited,1.69,0.0,1.73,0.74,51,0,2.99,0
82,1072497,YuGiOh,2012 Collectors Tin,Steelswarm Roach,0,CT09-EN021,Super Rare,Near Mint Limited,5.71,0.0,5.0,5.0,1,0,5.0,0
84,946949,YuGiOh,2012 Collectors Tin,Wind-Up Rabbit,0,CT09-EN010,Super Rare,Near Mint Limited,0.22,0.0,1.06,0.07,97,0,0.74,0
94,851136,YuGiOh,2012 Premium Collection Tin,Masked HERO Dian,0,PRC1-EN019,Secret Rare,Near Mint 1st Edition,1.17,0.0,1.69,0.7,2,0,1.74,0
96,851901,YuGiOh,2012 Premium Collection Tin,Number 34: Terror-Byte,0,PRC1-ENV02,Secret Rare,Near Mint Limited,0.26,0.0,1.1,0.11,4,0,0.74,0
103,1131201,YuGiOh,2013 Collectors Tins,Brotherhood of the Fire Fist - Bear,0,CT10-EN008,Super Rare,Near Mint Limited,0.18,0.0,1.06,0.07,128,0,0.74,0
107,1131206,YuGiOh,2013 Collectors Tins,"Karakuri Shogun mdl 00 ""Burei""",0,CT10-EN009,Super Rare,Near Mint Limited,0.42,0.0,1.14,0.15,50,0,0.99,0
108,1131236,YuGiOh,2013 Collectors Tins,Number 40: Gimmick Puppet of Strings,0,CT10-EN011,Super Rare,Near Mint Limited,0.39,0.0,1.09,0.1,11,0,0.74,0
111,1146806,YuGiOh,2013 Collectors Tins,Rank-Up-Magic Barian's Force,0,CT10-EN015,Super Rare,Near Mint Limited,0.31,0.0,1.13,0.14,99,0,0.99,0
117,1146826,YuGiOh,2013 Collectors Tins,Thunder Sea Horse,0,CT10-EN016,Super Rare,Near Mint Limited,0.29,0.0,1.15,0.16,28,0,0.99,0
126,1252312,YuGiOh,2014 Mega-Tins,Archfiend Commander,0,CT11-EN006,Super Rare,Near Mint Limited,0.22,0.0,1.09,0.1,1,0,0.74,0
127,1252292,YuGiOh,2014 Mega-Tins,Brotherhood of the Fire Fist - Gorilla,0,CT11-EN003,Super Rare,Near Mint Limited,0.2,0.0,1.07,0.08,117,0,0.74,0
128,1252287,YuGiOh,2014 Mega-Tins,Brotherhood of the Fire Fist - Tiger King,0,CT11-EN001,Secret Rare,Near Mint Limited,0.44,0.5,1.18,0.19,4,0,0.99,0
129,1252307,YuGiOh,2014 Mega-Tins,Bujingi Crane,0,CT11-EN005,Super Rare,Near Mint Limited,0.25,0.0,1.08,0.09,243,0,0.74,0
132,1252297,YuGiOh,2014 Mega-Tins,Number 47: Nightmare Shark,0,CT11-EN004,Super Rare,Near Mint Limited,0.6,0.0,1.4,0.41,69,0,1.49,0
133,1252629,YuGiOh,2014 Mega-Tins Mega Pack,Abyss-scale of the Mizuchi,0,MP14-EN040,Common,Near Mint 1st Edition,0.51,0.0,1.19,0.2,6,0,0.99,0
134,1253534,YuGiOh,2014 Mega-Tins Mega Pack,"Alsei, the Sylvan High Protector",0,MP14-EN221,Ultra Rare,Near Mint 1st Edition,5.25,0.0,5.12,5.12,1,0,5.0,0
136,1252844,YuGiOh,2014 Mega-Tins Mega Pack,Archfiend Cavalry,0,MP14-EN083,Rare,Near Mint 1st Edition,0.44,0.0,1.26,0.27,22,0,0.99,0
137,1252849,YuGiOh,2014 Mega-Tins Mega Pack,"Archfiend Emperor, the First Lord of Horror",0,MP14-EN084,Rare,Near Mint 1st Edition,0.19,0.0,1.18,0.19,1,0,0.99,0
139,1252954,YuGiOh,2014 Mega-Tins Mega Pack,Archfiend Palabyrinth,0,MP14-EN105,Rare,Near Mint 1st Edition,1.11,0.0,1.68,0.69,3,0,1.99,0
142,1253114,YuGiOh,2014 Mega-Tins Mega Pack,Baby Raccoon Tantan,0,MP14-EN137,Common,Near Mint 1st Edition,0.47,0.0,1.21,0.22,7,0,0.99,0
143,1252444,YuGiOh,2014 Mega-Tins Mega Pack,Battlin' Boxer Glassjaw,0,MP14-EN003,Common,Near Mint 1st Edition,0.23,0.0,1.09,0.1,8,0,0.74,0
144,1252439,YuGiOh,2014 Mega-Tins Mega Pack,Battlin' Boxer Headgeared,0,MP14-EN002,Common,Near Mint 1st Edition,0.26,0.0,1.09,0.1,4,0,0.74,0
147,1252454,YuGiOh,2014 Mega-Tins Mega Pack,Battlin' Boxer Switchitter,0,MP14-EN005,Common,Near Mint 1st Edition,0.44,0.0,1.24,0.25,2,0,0.99,0
149,1253354,YuGiOh,2014 Mega-Tins Mega Pack,Black Dragon Collapserpent,0,MP14-EN185,Common,Near Mint 1st Edition,0.08,0.0,1.03,0.04,35,0,0.74,0
151,1252584,YuGiOh,2014 Mega-Tins Mega Pack,Brotherhood of the Fire Fist - Cardinal,0,MP14-EN031,Secret Rare,Near Mint 1st Edition,0.56,0.0,1.29,0.3,1,0,0.99,0
152,1252494,YuGiOh,2014 Mega-Tins Mega Pack,Brotherhood of the Fire Fist - Leopard,0,MP14-EN013,Common,Near Mint 1st Edition,0.36,0.0,1.24,0.25,1,0,0.99,0
154,1253464,YuGiOh,2014 Mega-Tins Mega Pack,Bujin Arasuda,0,MP14-EN207,Ultra Rare,Near Mint 1st Edition,1.03,0.0,1.74,0.75,5,0,2.49,0
157,1252939,YuGiOh,2014 Mega-Tins Mega Pack,Bujincarnation,0,MP14-EN102,Rare,Near Mint 1st Edition,0.44,0.0,1.23,0.24,16,0,0.99,0
158,1252794,YuGiOh,2014 Mega-Tins Mega Pack,Bujingi Crane,0,MP14-EN073,Rare,Near Mint 1st Edition,0.2,0.0,1.17,0.18,18,0,0.99,0
161,1252784,YuGiOh,2014 Mega-Tins Mega Pack,Bujingi Turtle,0,MP14-EN071,Common,Near Mint 1st Edition,0.22,0.0,1.14,0.15,17,0,0.99,0
163,1252929,YuGiOh,2014 Mega-Tins Mega Pack,Bujintei Susanowo,0,MP14-EN100,Ultra Rare,Near Mint 1st Edition,0.34,0.0,1.23,0.24,10,0,0.99,0
164,1253544,YuGiOh,2014 Mega-Tins Mega Pack,Bujintei Tsukuyomi,0,MP14-EN223,Ultra Rare,Near Mint 1st Edition,0.6,0.0,1.38,0.39,10,0,1.24,0
165,1253509,YuGiOh,2014 Mega-Tins Mega Pack,"Chirubime, Princess of Autumn Leaves",0,MP14-EN216,Super Rare,Near Mint 1st Edition,0.43,0.0,1.24,0.25,11,0,0.99,0
166,1253019,YuGiOh,2014 Mega-Tins Mega Pack,Coach Captain Bearman,0,MP14-EN118,Ultra Rare,Near Mint 1st Edition,0.21,0.0,1.13,0.14,20,0,0.99,0
176,1252619,YuGiOh,2014 Mega-Tins Mega Pack,Fire Formation - Gyokkou,0,MP14-EN038,Super Rare,Near Mint 1st Edition,0.6,0.0,1.34,0.35,1,0,0.99,0
177,1252529,YuGiOh,2014 Mega-Tins Mega Pack,Fire King Avatar Garunix,0,MP14-EN020,Common,Near Mint 1st Edition,0.27,0.0,1.19,0.2,14,0,0.99,0
179,1253039,YuGiOh,2014 Mega-Tins Mega Pack,Fishborg Archer,0,MP14-EN122,Common,Near Mint 1st Edition,0.25,0.0,1.11,0.12,5,0,0.74,0
180,1252889,YuGiOh,2014 Mega-Tins Mega Pack,"Flying ""C""",0,MP14-EN092,Common,Near Mint 1st Edition,0.22,0.0,1.14,0.15,47,0,0.99,0
182,1252689,YuGiOh,2014 Mega-Tins Mega Pack,Geargiagear,0,MP14-EN052,Super Rare,Near Mint 1st Edition,0.25,0.0,1.15,0.16,25,0,0.99,0
183,1253209,YuGiOh,2014 Mega-Tins Mega Pack,Genomix Fighter,0,MP14-EN156,Ultra Rare,Near Mint 1st Edition,0.22,0.0,1.13,0.14,3,0,0.99,0
